board_id,board_name,local_area,main_website,meeting_schedule_url,agenda_minutes_url,executive_committee_url,notes,last_checked_at,confidence
alameda-county-wdb,Alameda County WDB,Alameda County (excluding Oakland),https://www.acwdb.org/,https://acwdb.org/,https://www.acwdb.org/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages. Candidate links found automatically; verify exact endpoints before raising confidence.",2026-05-09T21:30:01.620615+00:00,medium
anaheim-wdb,Anaheim WDB,City of Anaheim,https://www.anaheim.net/813/Workforce-Development-Board,https://www.anaheim.net/176/Boards-Commissions,http://local.anaheim.net/docs_agend/questys_pub/,https://www.anaheim.net/6741/Visit-Anaheim-Subcontractor-Agreements-A,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages. Candidate links found automatically; verify exact endpoints before raising confidence.",2026-05-09T21:30:04.468288+00:00,medium
contra-costa-county-wdb,Contra Costa County WDB,Contra Costa County,https://www.wdbccc.com/,https://www.wdbccc.com/board-member-interest/,https://www.wdbccc.com/meetings-agendas/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages. Candidate links found automatically; verify exact endpoints before raising confidence.",2026-05-09T21:30:06.265787+00:00,medium
foothill-wdb,Foothill WDB,"Pasadena, Arcadia, Duarte, Monrovia, Sierra Madre, South Pasadena",https://www.foothillwdb.org/,https://www.foothillwdb.org/,https://www.foothillwdb.org/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages.",2026-05-09T21:30:07.331137+00:00,medium
fresno-regional-wdb,Fresno Regional WDB,Fresno County,https://www.fresno-ca-wdb.com/,https://www.fresno-ca-wdb.com/,https://www.fresno-ca-wdb.com/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages.",2026-05-09T21:30:08.420251+00:00,medium
golden-sierra-workforce-board,Golden Sierra Workforce Board,"Alpine, El Dorado, and Placer Counties",https://goldensierra.com/,https://goldensierra.com/calendar,https://goldensierra.com/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages. Candidate links found automatically; verify exact endpoints before raising confidence.",2026-05-09T00:04:04.776430+00:00,medium
humboldt-county-wdb,Humboldt County WDB,Humboldt County,https://humboldtgov.org/1709/Workforce-Development-Board,https://humboldtgov.org/1709/Workforce-Development-Board,https://humboldtgov.org/1709/Workforce-Development-Board,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages.",2026-05-09T00:04:06.672071+00:00,medium
imperial-county-wdb,Imperial County WDB,Imperial County,https://www.ivworkforce.com/,https://www.ivworkforce.com/about/meetings,https://www.ivworkforce.com/,https://www.ivworkforce.com/about/meetings/may-27-2026-executive-committee-meeting,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages. Candidate links found automatically; verify exact endpoints before raising confidence.",2026-05-09T00:04:07.594644+00:00,medium
kern-inyo-mono-wdb,Kern/Inyo/Mono WDB,"Kern, Inyo, and Mono Counties",https://www.kern-inyo-mono.org/,https://www.kern-inyo-mono.org/,https://www.kern-inyo-mono.org/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages.",2026-05-09T00:04:08.616243+00:00,medium
kings-county-wdb,Kings County WDB,Kings County,https://kingsworkforce.org/,https://kingsworkforce.org/,https://kingsworkforce.org/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages.",2026-05-09T00:04:10.412585+00:00,medium
long-beach-win,Long Beach WIN,Cities of Long Beach and Signal Hill,https://www.longbeach.gov/economicdevelopment/workforce-development/,https://www.longbeach.gov/economicdevelopment/workforce-development/,https://www.longbeach.gov/economicdevelopment/workforce-development/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages.",2026-05-09T00:04:15.457979+00:00,medium
los-angeles-city-wdb,Los Angeles City WDB,City of Los Angeles,https://ewddlacity.com/index.php/wdb,https://ewddlacity.com/index.php/wdb,https://ewddlacity.com/index.php/wdb,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages.",2026-05-09T00:04:17.531483+00:00,medium
los-angeles-county-wdb,Los Angeles County WDB,Los Angeles County,https://wdb.lacounty.gov/,https://wdb.lacounty.gov/,https://wdb.lacounty.gov/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages.",2026-05-09T00:04:18.597511+00:00,medium
madera-county-wdb,Madera County WDB,Madera County,https://www.maderaworkforce.org/,https://maderaworkforce.com/wdb,https://www.maderaworkforce.org/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages. Candidate links found automatically; verify exact endpoints before raising confidence.",2026-05-09T00:04:19.863887+00:00,medium
merced-county-wdb,Merced County WDB,Merced County,http://www.workforce-merced.com/,http://www.workforce-merced.com/,http://www.workforce-merced.com/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages.",2026-05-09T00:04:20.873840+00:00,medium
monterey-county-wdb,Monterey County WDB,Monterey County,https://www.montereycountywdb.org/,https://www.montereycountywdb.org/,https://www.montereycountywdb.org/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages.",2026-05-09T00:07:23.956553+00:00,medium
mother-lode-workforce-development-board,Mother Lode Workforce Development Board,"Amador, Calaveras, Mariposa, and Tuolumne Counties",https://www.mljt.org/wdb,https://www.mljt.org/_files/ugd/754937_11c6509bdef5406d90073f4dac9d923c.pdf,https://www.mljt.org/agendas-and-minutes,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages. Candidate links found automatically; verify exact endpoints before raising confidence.",2026-05-09T00:07:57.750672+00:00,medium
novaworks-workforce-board,NOVAworks Workforce Board,San Mateo County & Silicon Valley,https://novaworks.org/,https://novaworks.org/about-us/board/,https://novaworks.org/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages. Candidate links found automatically; verify exact endpoints before raising confidence.",2026-05-09T00:07:27.618719+00:00,medium
north-central-counties-nccc,North Central Counties (NCCC),"Colusa, Glenn, Sutter, and Yuba Counties",https://ncccwdb.org/,https://ncccwdb.org/,https://ncccwdb.org/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages.",2026-05-09T00:07:24.985369+00:00,medium
northern-rural-training-nortec,Northern Rural Training (NoRTEC),11 Northern Counties,https://www.ncen.org/,https://www.ncen.org/images/documents/Mous/2025-2028/Notice%20of%20Partner%20Meetings.pdf,https://www.ncen.org/index.php/meetings/agendas,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages. Candidate links found automatically; verify exact endpoints before raising confidence.",2026-05-09T00:07:26.352587+00:00,medium
oakland-wdb,Oakland WDB,City of Oakland,https://www.oaklandworkforce.org/,https://www.oaklandworkforce.org/,https://www.oaklandworkforce.org/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages.",2026-05-09T00:07:28.637756+00:00,medium
orange-county-wdb,Orange County WDB,Orange County,https://workforce.ocgov.com/,https://cid.occommunityservices.org/oc-workforce-development-board/directives-and-guidance/policies-and-procedures,https://workforce.ocgov.com/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages. Candidate links found automatically; verify exact endpoints before raising confidence.",2026-05-09T00:07:29.235396+00:00,medium
richmond-wdb,Richmond WDB,City of Richmond,https://www.ci.richmond.ca.us/661/Workforce-Development-Board,https://www.ci.richmond.ca.us/151,https://www.ci.richmond.ca.us/151,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages. Candidate links found automatically; verify exact endpoints before raising confidence.",2026-05-09T00:07:30.805152+00:00,medium
riverside-county-wdb,Riverside County WDB,Riverside County,https://www.rivcoworkforce.com/,https://www.rivcoworkforce.com/,https://www.rivcoworkforce.com/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages.",2026-05-09T00:07:32.219371+00:00,medium
selaco-wdb,SELACO WDB,"Artesia, Bellflower, Cerritos, Downey, Lakewood, Norwalk",https://www.selaco.com/,https://www.selacowdb.com/agendas/,https://www.selacowdb.com/agendas/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages. Candidate links found automatically; verify exact endpoints before raising confidence.",2026-05-09T00:07:49.465410+00:00,medium
sacramento-seta,Sacramento (SETA),Sacramento County,https://www.seta.net/,https://www.seta.net/resources/board-operations/,https://www.seta.net/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages. Candidate links found automatically; verify exact endpoints before raising confidence.",2026-05-09T00:07:33.699636+00:00,medium
san-benito-county-wdb,San Benito County WDB,San Benito County,https://sbcworkforce.org/,https://sbcworkforce.org/,https://sbcworkforce.org/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages.",2026-05-09T00:07:34.720508+00:00,medium
san-bernardino-county-wdb,San Bernardino County WDB,San Bernardino County,https://wp.sbcounty.gov/workforce/,https://wp.sbcounty.gov/workforce/,https://wp.sbcounty.gov/workforce/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages.",2026-05-09T00:07:37.748615+00:00,medium
san-diego-workforce-partnership,San Diego Workforce Partnership,San Diego County,https://workforce.org/,https://workforce.org/,https://workforce.org/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages.",2026-05-09T00:07:39.062958+00:00,medium
san-francisco-oewd,San Francisco OEWD,San Francisco City/County,https://oewd.org/,https://oewd.org/,https://oewd.org/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages.",2026-05-09T00:07:40.697040+00:00,medium
san-joaquin-county-worknet,San Joaquin County WorkNet,San Joaquin County,https://www.sjcworknet.org/,https://www.sjcworknet.org/,https://www.sjcworknet.org/pdfs/STEP Application Packet 1-6-26.pdf,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages. Candidate links found automatically; verify exact endpoints before raising confidence.",2026-05-09T00:07:41.000165+00:00,medium
san-luis-obispo-county-wdb,San Luis Obispo County WDB,San Luis Obispo County,https://www.sloworkforce.com/,https://www.slocounty.ca.gov/Departments/Social-Services/Workforce-Development-Board/Board.aspx,https://www.sloworkforce.com/,https://www.slocounty.ca.gov/departments/social-services/workforce-development-board/meetings/executive-committee-meeting-06-10-2026,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages. Candidate links found automatically; verify exact endpoints before raising confidence.",2026-05-09T00:07:41.563791+00:00,medium
santa-ana-wdb,Santa Ana WDB,City of Santa Ana,https://www.santa-ana.org/workforce-development-board/,https://www.santa-ana.org/agenda-notifications/,https://www.santa-ana.org/agenda-notifications/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages. Candidate links found automatically; verify exact endpoints before raising confidence.",2026-05-09T00:07:42.788414+00:00,medium
santa-barbara-county-wdb,Santa Barbara County WDB,Santa Barbara County,http://www.countyofsb.org/wdb,http://www.countyofsb.org/wdb,http://www.countyofsb.org/wdb,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages.",2026-05-09T00:07:43.084504+00:00,medium
santa-clara-county-work2future,Santa Clara County (work2future),San Jose & Santa Clara,https://www.work2future.org/,https://www.work2future.org/board/,https://www.work2future.org/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages. Candidate links found automatically; verify exact endpoints before raising confidence.",2026-05-09T00:07:44.340519+00:00,medium
santa-cruz-county-wdb,Santa Cruz County WDB,Santa Cruz County,https://www.santacruzwdb.com/,https://www.santacruzhumanservices.org/FamilyChildren/SystemImprovementPlan(SIP)/SIPSteeringCommittee,https://www.santacruzhumanservices.org/Home/AboutUs/CommissionsCommittees/HumanServicesCommission(Retired)/PriorYearHumanServicesCommissionAgendas,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages. Candidate links found automatically; verify exact endpoints before raising confidence.",2026-05-09T00:07:47.093187+00:00,medium
solano-county-wdb,Solano County WDB,Solano County,https://www.solanowdb.org/,https://www.solanowdb.org/,https://www.solanowdb.org/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages.",2026-05-09T00:07:50.599060+00:00,medium
sonoma-county-wdb,Sonoma County WDB,Sonoma County,https://sonomawdb.org/,https://sonomawdb.org/,https://sonomawdb.org/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages.",2026-05-09T00:07:51.627474+00:00,medium
south-bay-wib,South Bay WIB,"Inglewood, Torrance, Carson, Hawthorne, Lawndale, El Segundo, Gardena, Lomita, Hermosa Beach, and Manhattan Beach, Redondo Beach",https://www.sbwib.org/,https://www.sbwib.org/2026-meeting-agendas,https://www.sbwib.org/2026-meeting-agendas,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages. Candidate links found automatically; verify exact endpoints before raising confidence.",2026-05-09T00:07:52.448486+00:00,medium
stanislaus-county-wdb,Stanislaus County WDB,Stanislaus County,https://www.stanworkforce.com/,https://www.stanworkforce.com/workforce-board/,https://www.stanworkforce.com/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages. Candidate links found automatically; verify exact endpoints before raising confidence.",2026-05-09T00:07:53.064019+00:00,medium
tulare-county-wib,Tulare County WIB,Tulare County,https://employmentconnection.org/,https://employmentconnection.org/,https://employmentconnection.org/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages.",2026-05-09T00:07:53.778967+00:00,medium
ventura-county-wdb,Ventura County WDB,Ventura County,https://vcwdb.org/,https://vcwdb.org/,https://vcwdb.org/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages.",2026-05-09T00:07:54.804452+00:00,medium
verdugo-wdb,Verdugo WDB,"Burbank, Glendale, La Cañada Flintridge",https://www.verdugowdb.org/,https://www.verdugowdb.org/,https://www.verdugowdb.org/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages.",2026-05-09T00:07:55.833152+00:00,medium
workforce-alliance-north-bay,Workforce Alliance North Bay,"Lake, Marin, Mendocino, Napa",https://www.workforcealliancenorthbay.org/,https://www.workforcealliancenorthbay.org/board-governance/,https://www.workforcealliancenorthbay.org/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages. Candidate links found automatically; verify exact endpoints before raising confidence.",2026-05-09T00:07:57.029652+00:00,medium
yolo-county-wdb,Yolo County WDB,Yolo County,https://www.yoloworks.org/,https://www.yoloworks.org/,https://www.yoloworks.org/,,"Bootstrapped from local official-board website manifest; discovery should confirm exact schedule, agenda/minutes, and executive committee pages.",2026-05-09T00:07:57.181188+00:00,medium
