wda_id,sd_id,intersect_area_m2,district_pop_in_overlap,district_total_pop,wda_total_pop,district_overlap_pct,wda_pop_in_overlap,wda_overlap_pct,is_display_eligible
WDA_001,SD09,195101832.6943415,227090,991163,1241707,22.91146864844632,227090,18.288533446296107,True
WDA_001,SD10,515419715.1769565,522702,1035025,1241707,50.50138885534166,522702,42.09543797369267,True
WDA_001,SD07,129603426.53886324,247047,958780,1241707,25.76680781826905,247047,19.89575640630197,True
WDA_001,SD05,1084689812.4714959,244868,1024101,1241707,23.910532261954632,244868,19.720272173709258,True
WDA_002,SD37,57385606.161129214,60261,1018565,346842,5.916264548654234,60261,17.374193436781013,True
WDA_002,SD36,22013.605854138434,18,986596,346842,0.0018244549947496241,18,0.005189682910374176,False
WDA_002,SD34,74388953.79322372,286563,945781,346842,30.299086152079603,286563,82.62061688030862,True
WDA_002,SD32,2600.750759273171,0,941977,346842,0.0,0,0.0,False
WDA_003,SD09,1420924951.080257,764073,991163,1049479,77.08853135155368,764073,72.80498228168453,True
WDA_003,SD03,376449093.26745594,130767,1039211,1049479,12.5832963661855,130767,12.460182623949597,True
WDA_003,SD07,148739120.55244344,154639,958780,1049479,16.128726089405284,154639,14.734835094365872,True
WDA_004,SD22,17376214.43758852,21727,1010820,293249,2.14944302645377,21727,7.4090619234848205,True
WDA_004,SD25,140770177.3516379,271522,1031657,293249,26.31901882117797,271522,92.59093807651519,True
WDA_005,SD04,509370.85812428326,0,1036270,1008654,0.0,0,0.0,False
WDA_005,SD12,7526654844.936136,357902,944035,1008654,37.91194182419084,357902,35.48312900161998,True
WDA_005,SD16,88412468.30131695,14820,963518,1008654,1.5381134550677829,14820,1.469284809260658,True
WDA_005,SD14,7953716649.827625,635932,1004564,1008654,63.30427926941439,635932,63.047586189119365,True
WDA_006,SD04,8312952207.696949,206474,1036270,597128,19.92473004139848,206474,34.57784595597594,True
WDA_006,SD01,1130004978.6110847,58113,943108,597128,6.161860571641848,58113,9.73208424324433,True
WDA_006,SD06,999318589.3120518,332541,969751,597128,34.29137995217329,332541,55.69006980077973,True
WDA_007,SD02,10495292386.564135,136463,996649,136463,13.69218250356946,136463,100.0,True
WDA_008,SD18,11604635989.33752,179702,970127,179702,18.523554132603255,179702,100.0,True
WDA_008,SD32,103.64267282422713,0,941977,179702,0.0,0,0.0,False
WDA_009,SD23,22954.301647030716,0,1036642,941446,0.0,0,0.0,False
WDA_009,SD04,34599386724.68734,32211,1036270,941446,3.1083597904021154,32211,3.4214389354248675,True
WDA_009,SD12,16911728864.315096,420759,944035,941446,44.57027546648165,420759,44.69284483655993,True
WDA_009,SD16,4235287094.546147,488476,963518,941446,50.697132798764535,488476,51.8857162280152,True
WDA_009,SD19,17.56401147723524,0,949159,941446,0.0,0,0.0,False
WDA_010,SD16,3605766435.2677226,152486,963518,152486,15.825962773918079,152486,100.0,True
WDA_011,SD33,0.722778059082593,0,1031541,3898747,0.0,0,0.0,False
WDA_011,SD27,309708024.12976974,665810,991317,3898747,67.16418663253026,665810,17.07753798848707,True
WDA_011,SD20,268172985.26816687,809785,942908,3898747,85.88165547434107,809785,20.770391102577314,True
WDA_011,SD25,447.8786696072369,0,1031657,3898747,0.0,0,0.0,False
WDA_011,SD26,173633460.70915696,826847,945855,3898747,87.41794461096045,826847,21.208018884015814,True
WDA_011,SD24,263472763.76309967,342740,1033200,3898747,33.172667440960126,342740,8.791029528204831,True
WDA_011,SD35,125032763.4894695,332422,949050,3898747,35.026816289974185,332422,8.526380398625507,True
WDA_011,SD28,159030932.1058691,921143,980597,3898747,93.93695881182586,921143,23.626642098089462,True
WDA_012,SD33,1545329696.1346776,482303,1031541,3875575,46.75558218238538,482303,12.44468240196616,True
WDA_012,SD23,5021703123.005998,709255,1036642,3875575,68.41850899346159,709255,18.300639259980777,True
WDA_012,SD27,6931256.008499328,2622,991317,3875575,0.2644966241878229,2622,0.06765447707759495,False
WDA_012,SD12,27237.886084044847,0,944035,3875575,0.0,0,0.0,False
WDA_012,SD19,0.7045181914456069,0,949159,3875575,0.0,0,0.0,False
WDA_012,SD34,16674551.343131844,66809,945781,3875575,7.06389745617643,66809,1.723847429091167,True
WDA_012,SD20,263098713.8535338,25786,942908,3875575,2.7347312781310587,25786,0.6653464324648601,True
WDA_012,SD22,503142660.372438,671975,1010820,3875575,66.47820581310224,671975,17.338717480631907,True
WDA_012,SD25,1278209864.080604,483980,1031657,3875575,46.91287898981929,483980,12.487953400463157,True
WDA_012,SD30,375208500.1501406,643602,987892,3875575,65.1490243872812,643602,16.606619662888733,True
WDA_012,SD26,32795865.374984883,119008,945855,3875575,12.582055389039546,119008,3.0707185385394427,True
WDA_012,SD24,887224385.6873913,332774,1033200,3875575,32.20809136662795,332774,8.586442011830503,True
WDA_012,SD35,128341157.60320915,278007,949050,3875575,29.293187924766872,278007,7.173309766937809,True
WDA_012,SD28,25923751.290150616,59454,980597,3875575,6.063041188174143,59454,1.5340691381278908,True
WDA_013,SD04,4110323846.17681,43706,1036270,156255,4.217626680305326,43706,27.970944929762247,True
WDA_013,SD12,52776.31759264368,0,944035,156255,0.0,0,0.0,False
WDA_013,SD14,1465940888.481015,112549,1004564,156255,11.20376601192159,112549,72.02905507023776,True
WDA_014,SD04,843794207.5238292,25126,1036270,281202,2.4246576664382835,25126,8.935213832049559,True
WDA_014,SD14,4280890860.1777105,256076,1004564,281202,25.491257898949193,256076,91.06478616795044,True
WDA_015,SD17,9767417204.202826,439035,1001026,439035,43.85850117779159,439035,100.0,True
WDA_016,SD04,13934531963.127308,158517,1036270,158517,15.296882086714852,158517,100.0,True
WDA_017,SD04,178776644.7560037,17358,1036270,714244,1.6750460787246568,17358,2.430261927296554,True
WDA_017,SD02,11492534891.078373,43855,996649,714244,4.400245221738045,43855,6.140058579421038,True
WDA_017,SD01,73137092572.49898,653031,943108,714244,69.24244095055921,653031,91.4296794932824,True
WDA_018,SD01,9675554938.894594,231964,943108,231964,24.595698477798937,231964,100.0,True
WDA_019,SD03,2047800031.8032846,138019,1039211,560104,13.281133475300011,138019,24.641673689172013,True
WDA_019,SD02,15633340748.709433,422085,996649,560104,42.350416244836445,422085,75.35832631082799,True
WDA_020,SD10,171218330.62204236,367608,1035025,1462046,35.51682326513853,367608,25.14339494106205,True
WDA_020,SD13,2121647854.6722891,890678,1011185,1462046,88.08259616192883,890678,60.91997105426231,True
WDA_020,SD15,2275094843.8148227,56411,1030043,1462046,5.476567483105074,56411,3.8583601336756845,True
WDA_020,SD11,76553715.20631164,147349,1021115,1462046,14.430206196167914,147349,10.078273870999954,True
WDA_021,SD07,202105506.5164624,440646,958780,440646,45.95903126890423,440646,100.0,True
WDA_022,SD33,1675.7997605722444,0,1031541,2529660,0.0,0,0.0,False
WDA_022,SD37,919841737.1776137,957294,1018565,2529660,93.9845763402434,957294,37.842793102630395,True
WDA_022,SD36,847998964.6769792,906456,986596,2529660,91.8771209289314,906456,35.83311591281041,True
WDA_022,SD34,89367672.69584315,282932,945781,2529660,29.915170636754173,282932,11.184586070855373,True
WDA_022,SD30,41543335.328456976,47972,987892,2529660,4.855996404465265,47972,1.8963813318785925,True
WDA_022,SD38,280836611.31675255,265523,973433,2529660,27.276967187264045,265523,10.496390819319593,True
WDA_022,SD32,77381608.43024048,69483,941977,2529660,7.376294750296451,69483,2.7467327625056335,True
WDA_023,SD33,201623261.95164636,466742,1031541,634730,45.24706240469356,466742,73.53394356655586,True
WDA_023,SD36,956.6806487645288,0,986596,634730,0.0,0,0.0,False
WDA_023,SD24,68696553.63015762,167988,1033200,634730,16.259001161440185,167988,26.46605643344414,True
WDA_023,SD35,6824.236916018402,0,949050,634730,0.0,0,0.0,False
WDA_024,SD07,136004105.44966567,116448,958780,116448,12.145434823421432,116448,100.0,True
WDA_025,SD19,6157249985.2803755,511555,949159,2418185,53.89560653167699,511555,21.1545022403166,True
WDA_025,SD29,44711.79540265827,0,939869,2418185,0.0,0,0.0,False
WDA_025,SD31,874702501.9877573,935547,950789,2418185,98.39691035550474,935547,38.68798292934577,True
WDA_025,SD40,2977.2389059708917,0,950656,2418185,0.0,0,0.0,False
WDA_025,SD22,80869.26781785757,0,1010820,2418185,0.0,0,0.0,False
WDA_025,SD18,7856950818.497504,187336,970127,2418185,19.310461413814892,187336,7.746967250231061,True
WDA_025,SD32,4025713007.178906,783747,941977,2418185,83.20234995121962,783747,32.41054758010657,True
WDA_026,SD03,434500812.91126716,5914,1039211,1585055,0.5690855851217895,5914,0.3731100813536439,False
WDA_026,SD06,1435838309.185381,637210,969751,1585055,65.7086200478267,637210,40.20112866745949,True
WDA_026,SD08,705047495.371538,941931,941931,1585055,100.0,941931,59.42576125118687,True
WDA_027,SD17,3601310737.9219346,64209,1001026,64209,6.414318908799571,64209,100.0,True
WDA_028,SD23,1681982619.5101216,327387,1036642,2181654,31.58149100653842,327387,15.006366729096365,True
WDA_028,SD12,0.35787778886344274,0,944035,2181654,0.0,0,0.0,False
WDA_028,SD19,42422939820.591,437604,949159,2181654,46.10439346832301,437604,20.058359391544215,True
WDA_028,SD29,632527517.558092,939869,939869,2181654,100.0,939869,43.08057097963288,True
WDA_028,SD31,9076068.637380183,15242,950789,2181654,1.603089644495256,15242,0.6986442396457,True
WDA_028,SD22,229340443.70420673,317118,1010820,2181654,31.372351160443994,317118,14.535668809077883,True
WDA_028,SD25,248361551.34306532,59039,1031657,2181654,5.722735366502627,59039,2.706157805041496,True
WDA_028,SD18,6732739241.926974,6984,970127,2181654,0.7199057442994576,6984,0.32012408933772263,False
WDA_028,SD32,115766239.08804074,78411,941977,2181654,8.32408859239663,78411,3.5941079566237355,True
WDA_029,SD39,638258218.0313089,1033627,1033627,3298634,100.0,1033627,31.335001094392407,True
WDA_029,SD40,3305957848.3267474,950656,950656,3298634,100.0,950656,28.819687179602223,True
WDA_029,SD18,2042605781.4134452,596105,970127,3298634,61.44607870928239,596105,18.07126828863099,True
WDA_029,SD38,1712416181.498599,707910,973433,3298634,72.72303281273595,707910,21.460701611636818,True
WDA_029,SD32,4022222066.09264,10336,941977,3298634,1.0972667060873036,10336,0.31334182573756286,True
WDA_030,SD02,23895.653779565917,0,996649,873766,0.0,0,0.0,False
WDA_030,SD07,121092.17194894813,0,958780,873766,0.0,0,0.0,False
WDA_030,SD11,600470571.63539,873766,1021115,873766,85.56979380383208,873766,100.0,True
WDA_031,SD04,0.6072453666032231,0,1036270,779233,0.0,0,0.0,False
WDA_031,SD05,3694879833.66387,779233,1024101,779233,76.08946773804537,779233,100.0,True
WDA_032,SD10,106658160.30992758,144715,1035025,1238854,13.98178787951982,144715,11.681360354004589,True
WDA_032,SD13,106741505.7713972,120507,1011185,1238854,11.917403838071174,120507,9.727296356148504,True
WDA_032,SD15,438658843.3329527,973632,1030043,1238854,94.52343251689493,973632,78.5913432898469,True
WDA_033,SD17,5729137123.879617,226921,1001026,282424,22.668841768345676,226921,80.34763334560803,True
WDA_033,SD21,3635654803.9116054,55503,1024690,282424,5.416565009905435,55503,19.65236665439198,True
WDA_034,SD37,506565.7180357318,1010,1018565,310487,0.09915911110238425,1010,0.32529542299677605,False
WDA_034,SD36,192.56078706107385,0,986596,310487,0.0,0,0.0,False
WDA_034,SD34,70477698.81876439,309477,945781,310487,32.72184575498979,309477,99.67470457700323,True
WDA_035,SD21,9810074303.780333,448229,1024690,448229,43.742888092984224,448229,100.0,True
WDA_036,SD17,1572538391.9066231,270861,1001026,270861,27.058338145063164,270861,100.0,True
WDA_037,SD24,115627509.3430391,189698,1033200,528319,18.360240030971738,189698,35.90595833199261,True
WDA_037,SD35,98768113.18302698,338621,949050,528319,35.679995785258946,338621,64.09404166800739,True
WDA_037,SD28,1.5990878285848409,0,980597,528319,0.0,0,0.0,False
WDA_038,SD03,2346902439.5588956,453491,1039211,453491,43.63800999027146,453491,100.0,True
WDA_039,SD03,461073561.6269446,94617,1039211,488863,9.10469577400547,94617,19.354502181592796,True
WDA_039,SD02,4116322189.0930305,394246,996649,488863,39.55715602985605,394246,80.6454978184072,True
WDA_040,SD33,24464541.138078433,82496,1031541,458936,7.997355412921057,82496,17.975491136018963,True
WDA_040,SD36,29616001.563223448,80122,986596,458936,8.121054616073854,80122,17.458207680373732,True
WDA_040,SD30,73769031.68427512,296318,987892,458936,29.994979208253536,296318,64.5663011836073,True
WDA_041,SD04,3921019373.7172594,552878,1036270,552878,53.35269765601629,552878,100.0,True
WDA_041,SD14,0.43330600547997733,0,1004564,552878,0.0,0,0.0,False
WDA_041,SD05,370662.35106898285,0,1024101,552878,0.0,0,0.0,False
WDA_042,SD12,9366219909.908308,165374,944035,473117,17.517782709327516,165374,34.954144535072714,True
WDA_042,SD16,3164875218.031476,307736,963518,473117,31.93879097224961,307736,65.04437591547124,True
WDA_042,SD14,10015.439655800355,7,1004564,473117,0.0006968197148215545,7,0.0014795494560542108,False
WDA_043,SD27,485619650.76088595,322885,991317,843843,32.57131674328192,322885,38.2636343490436,True
WDA_043,SD21,5229341666.22224,520958,1024690,843843,50.84054689711035,520958,61.736365650956394,True
WDA_044,SD20,44942832.31296661,107337,942908,324453,11.38361324752786,107337,33.08244953814574,True
WDA_044,SD25,101667627.8743835,217116,1031657,324453,21.045366822500114,217116,66.91755046185426,True
WDA_045,SD03,2646516461.667611,216403,1039211,216403,20.823778809115762,216403,100.0,True
WDA_045,SD02,68.82385861602164,0,996649,216403,0.0,0,0.0,False
